text;news_link;outlet;topic;type;label_bias;label_opinion;biased_words
Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group, also known as ISIS.;https://eu.usatoday.com/story/news/politics/2019/10/16/trumps-syria-expected-condemned-house-vote/3992184002/;usa-today;international-politics-and-world-news;center;No agreement;No agreement;[]
Last week, Ankara broke the 2015 agreement with Brussels in which it would stop the illegal flow of migrants through Turkey in exchange for money and continuing EU accession talks, and opened the gates which resulted in thousands of migrants amassing on the near-east country’s land border with Greece.;https://www.breitbart.com/europe/2020/03/05/hungary-vows-it-will-protect-europe-illegal-mass-migration-again/;breitbart;immigration;right;Biased;No agreement;[]
In the wake of the El Paso shooting, in which 22 were killed and 24 injured, the discovery of a racist manifesto that may be linked to the shooter has pushed white supremacist ideologies into prominence.;https://eu.usatoday.com/story/money/2019/08/05/amazon-sells-white-supremacy-books-el-paso-shooter/1922484001/;usa-today;white-nationalism;center;Non-biased;Entirely factual;[]
Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights, parental love, and the trust between doctor and patient.;https://www.nbcnews.com/news/us-news/down-syndrome-abortion-fight-ohio-takes-legal-twists-n1155276?cid=public-rss_20200311;msnbc;abortion;left;Non-biased;Entirely factual;[]
Like many Americans also crippled by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon.;https://eu.usatoday.com/story/news/nation/2020/01/25/election-2020-democrats-focus-student-loan-debt-do-voters-care/4562079002/;usa-today;student-debt;center;Biased;Somewhat factual but also opinionated;['crippled']
Just a few weeks later, our divided leaders were taken by surprise by the pandemic, and bickered on cable news, asking why nothing was done sooner.;https://www.breitbart.com/politics/2020/03/13/pollak-democrats-pushed-impeachment-while-coronavirus-spread/;breitbart;coronavirus;right;Biased;Somewhat factual but also opinionated;['bickered']
Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. ;https://eu.usatoday.com/story/news/nation/2020/02/13/indiana-abortion-doctor-mass-burial-held-fetuses-found-illinois-home/4746998002/;usa-today;abortion;center;Non-biased;Entirely factual;[]
President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion, but partisan division in the U.S. Congress means the Supreme Court likely will set the agenda on the divisive issue, as it has for decades.;;reuters;abortion;center;Non-biased;Entirely factual;[]
Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.;https://www.breitbart.com/news/kurdish-fighters-withdraw-from-besieged-syria-town/;breitbart;international-politics-and-world-news;right;Non-biased;Entirely factual;[]
For a lazy narcissist like Trump, that must have been a life-altering realization: Hollywood fakery can make even the biggest idiot appear smart and capable. So he has spent the entire presidency, which he thinks of more as a fake TV job than a real one, using photo-ops, pep rallies and other stunts to try to shape an image of himself as sharp and tough, an image that runs totally counter to reality.;https://www.alternet.org/2020/06/bunker-boy-trump-thinks-he-can-edit-reality-like-tv-show/;alternet;trump-presidency;left;Biased;Expresses writer’s opinion;['lazy', 'narcissist', 'fakery', 'idiot', 'fake', 'totally']
Just off the top of my head, CNN is already filled with useless and uninteresting Never Trump deadwood.;https://www.breitbart.com/the-media/2019/01/15/nolte-cnn-hiring-john-kasich-another-never-trump-payoff/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gun-control;right;Biased;Expresses writer’s opinion;['useless', 'uninteresting', 'deadwood']
The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media, raising Miller’s Jewish background in that defense.;https://www.nbcnews.com/news/latino/after-stephen-miller-s-white-nationalist-views-outed-latinos-ask-n1096071;msnbc;white-nationalism;left;Non-biased;Entirely factual;[]
When carrying a firearm, you have the ultimate power of force in your control.;https://thefederalist.com/2019/08/06/7-reasons-people-concealed-carry/?utm_source=The+Federalist+List&utm_campaign=9fdea2288f-RSS_The_Federalist_Daily_Updates_w_Transom&utm_medium=email&utm_term=0_cfcb868ceb-9fdea2288f-83924449;federalist;gun-control;right;Biased;Expresses writer’s opinion;['ultimate']
New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws, despite the wave of mass shootings that have taken place across the country over the last few decades.;https://www.huffpost.com/entry/mick-mulvaney-virginia-beach-shooting_n_5cf3d5b7e4b0a1997b6bf26c;huffpost;gun-control;left;Non-biased;Entirely factual;[]
Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality, and to draw attention to serious policy fixes for the problem.;https://www.alternet.org/2019/01/alexandria-ocaio-cortez-is-absolutely-right-there-shouldnt-be-any-billionaires/;alternet;middle-class;left;Biased;Somewhat factual but also opinionated;['evils']
The second side is represented by lenders, who – in my view – do little to assess an individual’s ability to repay a student loan. If a student borrows to enroll in a program, limits placed on amounts borrowed are quite high when federal and private loans are combined.;https://www.alternet.org/2020/02/a-college-president-explains-why-student-debt-is-a-disaster/;alternet;student-debt;left;Non-biased;Expresses writer’s opinion;[]
For far too many on the left, chaos is the point. Destruction is the goal. They prefer the unknown madness that lies ahead to whatever is still managing to (barely) hold us together in the present.;https://thefederalist.com/2020/06/06/divisive-insurrectionists-have-brought-the-nation-to-the-brink-of-chaos/;federalist;elections-2020;right;Biased;Expresses writer’s opinion;['chaos', 'madness', 'barely']
Worth noting, however, is that Democrats have also been notably two-faced on gun control.;https://thefederalist.com/2019/02/21/facts-mass-shootings-support-gun-ownership-not-gun-control/?utm_source=The+Federalist+List&utm_campaign=e01eef4417-RSS_The_Federalist_Daily_Updates_w_Transom&utm_medium=email&utm_term=0_cfcb868ceb-e01eef4417-83843357;federalist;gun-control;right;Non-biased;No agreement;['notably']
In practical terms, Trump wants to make the transition from dramatically curtailing refugee admissions to effectively ending refugee admissions.;http://www.msnbc.com/rachel-maddow-show/would-the-trump-admin-effectively-halt-the-us-refugee-program;msnbc;immigration;left;Biased;Somewhat factual but also opinionated;['dramatically', 'curtailing']
Victorina Morales, an undocumented immigrant from Guatemala, told reporters in a conference call on Tuesday that she was allowed to work at the resort after she submitted a fraudulent Social Security number and green card, which she alleges her supervisors knew were phony.;https://eu.usatoday.com/story/news/politics/2019/01/31/state-union-undocumented-trump-national-worker-attend/2731605002/;usa-today;immigration;center;Non-biased;Entirely factual;[]
Trump, who has sparred back and forth with the teenage climate activist Greta Thunber, made the comments in a press briefing just before he was about to depart the annual World Economic Forum meeting in the Swiss ski resort.;https://www.reuters.com/article/davos-meeting-trump-thunberg/davos-trump-says-he-would-have-loved-to-have-seen-greta-thunberg-speak-idUSS8N29P0BS;reuters;environment;center;No agreement;Somewhat factual but also opinionated;['sparred']
It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality, since Trump — despite his campaign promises that he would live and let live — has been one of the most LGBTQ-hostile presidents in modern politics.;https://www.alternet.org/2019/02/watch-trump-is-completely-baffled-when-asked-about-his-own-policy-to-fight-anti-homosexuality-laws/;alternet;gender;left;No agreement;Expresses writer’s opinion;[]
The ADL report represents a sobering warning about the reach of white supremacist groups, which can take advantage of the efficiency and anonymity provided by social media to disseminate their ideology with little fear of backlash.;https://eu.usatoday.com/story/news/nation/2020/02/14/white-supremacy-propaganda-increasing-mainstream-violence/4755150002/;usa-today;white-nationalism;center;Biased;No agreement;['sobering']
That has led to fears that gangs could exploit undocumented migrants already in the country for cheap labor, an established but illegal practice known as “caporalato” that one United Nations expert has called a form of modern slavery.;https://www.reuters.com/article/us-health-coronavirus-italy-slavery-trfn/italys-lockdown-labor-crunch-sparks-fears-of-mafia-exploitation-idUSKBN2222MO;reuters;coronavirus;center;Non-biased;Entirely factual;[]
The 2010s saw the U.S. economy achieve its longest-ever expansion, with notable milestones such as 110 months of uninterrupted job gains and an unemployment rate near a half-century low becoming easy bragging points for politicians and economists alike.;https://www.reuters.com/article/us-usa-economy-decade/from-opioid-deaths-to-student-debt-a-view-of-the-2010s-economy-in-charts-idUSKBN1YZ0AS;reuters;student-debt;center;Biased;Somewhat factual but also opinionated;['bragging']
Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.;https://www.alternet.org/2019/01/heres-why-women-still-earn-a-lot-less-than-men/;alternet;gender;left;Biased;Somewhat factual but also opinionated;['rocket', 'science']
President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations, where the former vice president removed his mask.;https://www.breitbart.com/politics/2020/06/03/trump-joe-biden-feels-comfortable-with-a-mask-on-i-think/;breitbart;elections-2020;right;Non-biased;Entirely factual;[]
The transgender effort to suppress any recognition that men and women are different and complementary would not matter except for the movement’s political alliance with wealthy progressives and radical feminists who wish to destroy the political power of the male-and-female family.;https://www.breitbart.com/politics/2019/02/21/transgenderism-a-mans-penis-can-be-a-female-penis/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gender;right;Biased;Expresses writer’s opinion;['wealthy', 'radical']
The beauty routine for prominent women who work and live under the eye of a camera can include not just haircuts, but hair color, highlights, lowlights, Keratin treatments, blowouts, braids, manicures, pedicures, facials, eyebrow waxes, eyelash extensions.;https://www.alternet.org/2019/10/the-real-scandal-behind-aocs-haircut/;alternet;gender;left;Non-biased;Somewhat factual but also opinionated;[]
Cuomo has been championed by the mainstream media for his response to the coronavirus pandemic in New York City, but his state-wide response to nursing homes deserves anything but the glowing praise he’s received.;https://thefederalist.com/2020/05/22/janice-dean-tragic-loss-exposes-andrew-cuomo-failed-response-coronavirus-nursing-homes/;federalist;coronavirus;right;Biased;Expresses writer’s opinion;['championed', 'glowing']
Sen. Elizabeth Warren's radical immigration plans involves decriminalizing illegal immigration, increasing legal immigration, and ending all detention of illegal aliens, minus those deemed to be “a flight or safety risk.”;https://www.breitbart.com/politics/2019/07/11/warren-immigration-plan-decriminalize-illegal-immigration-end-detention-of-border-crossers/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;immigration;right;Biased;Expresses writer’s opinion;['illegal', 'aliens', 'deemed']
And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled, New Jersey has chosen a different path, encouraging students to buy life insurance to cover their debt and take co-signers off the hook in the event of a tragedy;https://www.alternet.org/2016/07/nj-forces-mom-pay-sons-student-loans-murder-does-not-meet-threshold-loan-forgiveness/;alternet;student-debt;left;Non-biased;Entirely factual;[]
President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life, one of the nation’s largest anti-abortion protests, in person later this week. The move is likely to be seen as an attempt by the president to appeal to his evangelical base at a time of fierce political turmoil.;https://www.huffpost.com/entry/trump-march-for-life_n_5e2915eac5b6779e9c2d87af;huffpost;abortion;left;Non-biased;Entirely factual;[]
A push by Virginia Democrats to loosen restrictions on late-term abortions is erupting into a fierce partisan clash as video of a legislative hearing goes viral.;https://eu.usatoday.com/story/news/politics/2019/01/30/virginia-late-term-abortion-debate-loosen-restrictions-goes-viral/2723449002/;usa-today;abortion;center;Biased;Somewhat factual but also opinionated;['clash']
In Spain, hundreds of thousands of women, wearing purple and raising their fists, took to the streets of cities around the country calling for greater gender equality.;https://www.reuters.com/article/us-womens-day/gender-equality-rights-on-agenda-on-international-womens-day-idUSKCN1QP18R?feedType=RSS&feedName=topNews;reuters;gender;center;Non-biased;Entirely factual;[]
Radical Virginia Citizens Defense League has organized a rally in Richmond for January 20, and the event is already attracting out-of-state pro-gun folks, including a potential horde of white nationalists.;https://www.alternet.org/2020/01/pro-gun-protesters-actively-yearning-for-a-civil-war-set-their-sights-on-virginia/;alternet;gun-control;left;Biased;Expresses writer’s opinion;['horde']
An illegal alien has been charged with enticing a 13-year-old girl through social media and raping her in Madison County, Alabama.;https://www.breitbart.com/politics/2020/02/03/illegal-alien-charged-with-enticing-raping-13-year-old-girl-in-alabama/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;immigration;right;Biased;No agreement;['illegal', 'alien']
A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions, handing a victory to anti-abortion advocates.;https://www.reuters.com/article/us-usa-abortion-ohio/appeals-court-says-ohio-may-withhold-planned-parenthood-funding-idUSKBN1QT23V?feedType=RSS&feedName=domesticNews;reuters;abortion;center;Non-biased;Entirely factual;[]
As the United States women’s national team clinched their fourth World Cup title on Sunday, fans across New York City gathered at local watering holes and match parties, striking an optimistic tone about the future of the women’s game.;https://www.reuters.com/article/us-soccer-worldcup-fans/americans-optimistic-about-womens-sport-after-world-cup-triumph-idUSKCN1U20RD?feedType=RSS&feedName=topNews;reuters;sport;center;Non-biased;Entirely factual;[]
The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is under tremendous pressure at the current time.;https://www.breitbart.com/politics/2020/03/26/planned-parenthood-sues-texas-governor-over-abortion-ban-during-coronavirus-outbreak/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;abortion;right;Biased;Somewhat factual but also opinionated;['tremendous']
"Poll workers and technicians reported issues with the new machines at more than 40% of polling locations in Philadelphia during last November’s election, according to the records reviewed by Reuters. Problems included touchscreens that were hypersensitive or that froze; paper voting receipts getting jammed in the machines; and panels opening on some machines to expose the equipment’s electronic controls, the records show.";https://www.reuters.com/article/us-usa-election-pennsylvania-machines-ex/exclusive-philadelphias-new-voting-machines-under-scrutiny-in-tuesdays-elections-idUSKBN23828J;reuters;elections-2020;center;Non-biased;Entirely factual;[]
Trump, who has been critical of the Iraq war, in a tweet called Powell “a real stiff.” Powell is the latest former top military officer to rebuke Trump in the wake of sweeping mass protests aimed at fighting racial injustice spurred by the May 25 death of an unarmed black man in Minnesota.;https://www.reuters.com/article/us-usa-election-powell/colin-powell-endorses-joe-biden-for-president-idUSKBN23E0JK;reuters;elections-2020;center;Non-biased;Entirely factual;[]
The president and his Republican brethren made all kinds of predictions about what would happen if their tax plan passed, and each of those predictions – from job creation to growth rates to the fiscal impact – turned out to be wrong.;http://www.msnbc.com/rachel-maddow-show/team-trump-claims-be-gearing-tax-cuts-20;msnbc;middle-class;left;Biased;No agreement;['brethren']
Many people in politics and media are still not used to female power, and Pelosi’s novel position, while creating some pointless problems for her, also gives her some surprising advantages.;https://www.alternet.org/2019/01/how-nancy-pelosi-is-using-trumps-sexism-against-him-and-totally-owning-him/;alternet;gender;left;Biased;No agreement;['pointless']
A Gallup poll reports that women are still more likely to do laundry, clean the house, do grocery shopping, prepare meals, wash dishes and make decisions about furniture and decorations – even among younger generations who are reportedly more egalitarian as ever.;https://eu.usatoday.com/story/news/nation/2020/02/14/gender-equality-millennial-men-still-dont-do-laundry-house-cleaning/4748860002/;usa-today;gender;center;Non-biased;Entirely factual;[]
The trio ended up on the wet, slippery wall after smugglers abandoned them.;https://www.foxnews.com/us/border-patrol-san-diego-border-wall-rescue-stuck-smugglers?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fnational%20%28Internal%20-%20US%20Latest%20-%20Text%29;fox-news;immigration;right;Non-biased;Entirely factual;[]
And most egregiously, in what will surely be viewed as one of the most ill-advised stunts in presidential history, the Trump Administration had federal security forces use tear gas and projectiles to vacate Lafayette square by force of arms so Trump could make a show of walking over to St. John’s Church and posing awkwardly with a bible held upside down.;https://www.alternet.org/2020/06/trump-thought-brutalizing-protesters-would-save-him-he-was-wrong/;alternet;elections-2020;left;Biased;Expresses writer’s opinion;['egregiously', 'ill-advised']
While emphasizing he’s not singling out either party, Cohen warned about the danger of normalizing white supremacist ideology.;https://eu.usatoday.com/story/news/nation/2020/02/14/white-supremacy-propaganda-increasing-mainstream-violence/4755150002/;usa-today;white-nationalism;center;Non-biased;Entirely factual;[]
Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.;https://eu.usatoday.com/story/news/politics/2019/01/30/mitch-mcconnell-rips-democrat-plan-make-election-day-federal-holiday/2728121002/;usa-today;elections-2020;center;Biased;Somewhat factual but also opinionated;['shredded']
Omar believes USA Powerlifting is discriminating against males who identify as transgender women, based on the “myth” that they have a “direct competitive advantage” over biological females.;https://www.breitbart.com/sports/2019/02/06/ilhan-omar-wants-usa-powerlifting-investigated-banning-biological-males-competing-womens-events/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;sport;right;Non-biased;Entirely factual;[]
We speak with Varshini Prakash, founder of the Sunrise Movement, a youth-led climate group that has occupied and lobbied at congressional offices, risking arrest to demand adoption of the Green New Deal and bold climate leadership.;https://www.alternet.org/2019/01/the-sunrise-movement-warns-pelosi-your-actions-on-climate-fall-inexcusably-short/;alternet;environment;left;Non-biased;Entirely factual;[]
White nationalism-fueled violence is on the rise, but FBI is slow to call it domestic terrorism.;https://www.nbcnews.com/news/us-news/white-nationalism-fueled-violence-rise-fbi-slow-call-it-domestic-n1039206;msnbc;white-nationalism;left;Biased;Somewhat factual but also opinionated;['nationalism-fueled']
Over the past few decades, RFK Jr.’s famous name has helped him get in the door to talk to important people, and it probably isn’t long before the person who is all jacked up to meet a Kennedy realizes the guy is totally cray-cray.;https://thefederalist.com/2017/01/12/no-anti-vaxxer-robert-kennedy-jr-wont-trumps-vaccine-czar/;federalist;vaccines;right;Biased;Expresses writer’s opinion;['totally', 'cray-cray']
Paul Whelan, the former U.S. Marine held in Moscow on spying charges, had online contact with more than 20 Russians with military backgrounds, an analysis of social media shows.;http://feeds.reuters.com/~r/Reuters/worldNews/~3/UZ6lsTlof2I/former-u-s-marine-held-for-spying-had-russian-contacts-with-military-backgrounds-idUSKCN1P41XF;reuters;international-politics-and-world-news;center;Non-biased;Entirely factual;[]
What is new is the direct indictment of white people as a race. This happened through a strange rhetorical transformation over the past few years.;https://thefederalist.com/2016/05/23/how-anti-white-rhetoric-is-fueling-white-nationalism/;federalist;white-nationalism;right;Biased;Expresses writer’s opinion;['strange']
Many pointed out at the time of the Park Police’s first statement denying use of “tear gas” was obviously misleading. But Trump and his right-wing defenders jumped on it. Most prominently, Federalist writer Mollie Hemingway wrote a piece, shared by the president, accusing the media of falsely reporting that tear gas was used, even though the crowd was exposed to gases and compounds that clearly caused tears and severe irritation.;https://www.alternet.org/2020/06/trump-claimed-no-tear-gas-was-used-on-white-house-protesters-now-a-us-official-that-was-based-on-a-mistake/;alternet;trump-presidency;left;No agreement;Somewhat factual but also opinionated;[]
CTE is a degenerative brain disease that has been found in former players of North American football , soccer, hockey, rugby union and others exposed to repeated head injury.;https://www.foxnews.com/sports/brain-disease-cte-found-in-2-australian-rugby-league-players;fox-news;sport;right;Non-biased;Entirely factual;[]
So conservative activists are turning to their favorite weapons — bad faith and distraction — to advance an agenda of gender inequality.;https://www.alternet.org/2019/04/republicans-want-to-make-sex-discrimination-legal-and-theyre-moving-fast/;alternet;gender;left;Biased;Expresses writer’s opinion;['bad', 'faith']
The legislation ends criminal penalties for self-abortion and – in the case of an unborn baby who is the victim of a homicide – defines “person” as “a human being who has been born and is alive.”;https://www.breitbart.com/politics/2019/01/07/hillary-clinton-joins-ny-gov-andrew-cuomo-in-push-for-very-late-term-abortions/;breitbart;abortion;right;Biased;Somewhat factual but also opinionated;[]
And if we look at a subset of guns which the left  loves to deride - rifles, for instance - then a clearer picture about gun deaths is quickly visible.;https://www.breitbart.com/entertainment/2020/03/30/monty-python-john-cleese-mocks-americans-for-buying-guns-during-virus-crisis/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;gun-control;right;Biased;Expresses writer’s opinion;['deride']
While the workaday majority of Americans continue to be mired in our low-wage economy, the precious few at the tippy top soared out of sight in 2019.;https://www.alternet.org/2020/01/here-are-the-dirty-secrets-of-how-the-rich-become-the-uber-rich/;alternet;middle-class;left;Biased;Somewhat factual but also opinionated;['mired', 'tippy-top']
This is also true for students snookered into matriculating at sketchy for-profit colleges, which offer almost no marketable skills or career preparedness to justify the cost. And it further describes recent college graduates who, through an accident of timing, entered the real world during the Great Recession and its aftermath, finding it difficult to obtain work in their field of study.;https://www.alternet.org/2013/06/why-student-loans-are-even-bigger-sham-you-know/;alternet;student-debt;left;Biased;Expresses writer’s opinion;['snookered', 'sketchy']
Proposals to restructure repayment programs or dip into retirement accounts don’t prevent students from taking out dangerous amounts of student loans in the first place.;https://thefederalist.com/2020/01/23/americans-need-to-stop-hurrying-young-people-into-student-debt-slavery/;federalist;student-debt;right;Non-biased;Somewhat factual but also opinionated;[]
The demonstrators were protesting against Japanese Prime Minister Abe Shinzo’s trade restrictions against South Korea and spotlighting the century-old dispute over Imperial Japan’s use of forced labor in Korea that underlies the current economic and diplomatic crisis.;https://www.breitbart.com/national-security/2019/07/29/japan-south-korea-conflict-plays-chinas-hands/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29;breitbart;international-politics-and-world-news;right;Non-biased;Entirely factual;[]
Letters from GOP members of Congress and national pro-life leaders to the White House and the Food and Drug Administration (FDA) last week asserted Democrats are attempting to exploit the coronavirus pandemic for the purpose of advancing their party’s pro-abortion agenda.;;breitbart;abortion;right;Biased;Somewhat factual but also opinionated;['asserted']
Former Australia Prime Minister Kevin Rudd ripped Donald Trump’s botched handling of the coronavirus pandemic in a new op-ed, describing the U.S. president as a “quack apothecary” for hyping unproven cures;https://www.huffpost.com/entry/kevin-rudd-donald-trump-coronavirus-handling_n_5eb3d30dc5b6526942a266d1;huffpost;trump-presidency;left;Biased;Somewhat factual but also opinionated;['ripped', 'botched']
Like the costly and controversial Green New Deal, which Booker co-sponsored in the form of a Senate resolution, Booker’s plan aims to address both climate change and economic inequality.;https://www.foxnews.com/politics/booker-unveils-3-trillion-plan-for-climate-change-creating-environmental-justice-fund?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fpolitics%20%28Internal%20-%20Politics%20-%20Text%29;fox-news;environment;right;Non-biased;Somewhat factual but also opinionated;[]
U.S. President Donald Trump is open to negotiations on another possible stimulus bill amid the novel coronavirus pandemic, but not the one put forward by House of Representatives Democrats, a White House spokeswoman said on Thursday.;https://www.reuters.com/article/us-health-coronavirus-usa-congress/trump-is-open-to-more-coronavirus-stimulus-but-not-democrats-plan-white-house-idUSKBN22Q2K6?feedType=RSS&feedName=topNews;reuters;coronavirus;center;Non-biased;Entirely factual;[]
Violence against women has plagued Mexico for years and the many killings of women drew international attention when they spiked in the 1990s, about the time of the signing of the North American Free Trade Agreement and of an increase in Juarez of manufacturing plants known as maquiladoras.;https://www.nbcnews.com/news/latino/shooting-death-young-woman-activist-returns-spotlight-femicides-juarez-mexico-n1120811?cid=public-rss_20200124;msnbc;gender;left;No agreement;Entirely factual;[]
In a September executive order, President Donald Trump gave states and local governments the right to reject refugees, but instead of saying no, most state and local officials have blindsided the administration by opting in, according to two former officials familiar with the matter.;https://www.nbcnews.com/politics/immigration/blindsiding-trump-most-republican-governors-have-agreed-accept-refugees-n1113556?cid=public-rss_20200110;msnbc;immigration;left;Biased;No agreement;['blindsided']
Those filings are expected to show that Sen. Sanders, the so-called democratic socialist, made millions from book sales.;https://www.foxnews.com/politics/warren-releases-tax-returns;fox-news;middle-class;right;Biased;Somewhat factual but also opinionated;['so-called']
Mafia exploitation of immigrants on farms in Italy is likely to rise as the coronavirus lockdown brings chronic labor shortages, the government and labor rights groups have warned.;https://www.reuters.com/article/us-health-coronavirus-italy-slavery-trfn/italys-lockdown-labor-crunch-sparks-fears-of-mafia-exploitation-idUSKBN2222MO;reuters;coronavirus;center;Non-biased;Entirely factual;[]
"Despite saving millions upon millions of lives, vaccines have been meet with skepticism by a small but growing faction of conspiracy theorists. And Donald Trump, ""human megaphone that is the president of the United States,"" has only made matters worse by supporting an ""alternative vaccine schedule.""";https://www.alternet.org/2017/06/john-oliver-desperately-tries-talk-some-sense-anti-vaxxers-its-too-late/;alternet;vaccines;left;Biased;Expresses writer’s opinion;[]
After threatening Iran in a series of tweets hours earlier, Trump seemed eager to lower tensions.;https://eu.usatoday.com/story/news/politics/2020/01/03/qasem-soleimani-death-how-trump-arrived-order-kill-iran-general/2786880001/;usa-today;international-politics-and-world-news;center;Non-biased;Somewhat factual but also opinionated;[]
President Donald Trump says that voting by mail is “horrible” and “corrupt” because the “tremendous potential for voter fraud” helps Democrats win elections. But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are doing everything they can to ensure this crucial swing state can hold a safe election during the coronavirus pandemic.;https://www.huffpost.com/entry/florida-2020-vote-by-mail_n_5ea329fdc5b6f963981475e6;huffpost;elections-2020;left;Non-biased;Entirely factual;[]
