text;news_link;topic;outlet;label_bias;label_opinion;biased_words
Team Trump is operating on two different tracks -- picking fights (on crowd size, with the media, and with Mexico), and laying the groundwork for Trump and conservative policies (border wall, withdrawing from TPP, and abortion).;http://www.nbcnews.com/politics/first-read/chaos-defines-trump-s-first-week-office-n712931?cid=public-rss_20170127;abortion;MSNBC;;;
Jeanne Mancini, President of March for Life, speaks about the upcoming anti-abortion march and the historic nature of Mike Pence partaking in the march.;http://www.msnbc.com/stephanie-ruhle/watch/vice-president-set-to-appear-at-anti-abortion-march-864132675523;abortion;MSNBC;;;
U.S. Vice President Mike Pence fired up tens of thousands of anti-abortion activists who gathered on Friday for the 44th March for Life, celebrating a political shift in their favor with the election of President Donald Trump.;http://feeds.reuters.com/~r/reuters/healthNews/~3/8wl-epgFyc8/us-usa-abortion-march-idUSKBN15B1ME;abortion;Reuters;;;
"He asked that the anti-abortion movement ""be known for love, not anger… for compassion, not confrontation.”";http://www.nbcnews.com/video/pence-at-march-for-life-society-judged-by-how-we-care-for-our-most-vulnerable-864221251741;abortion;MSNBC;;;
Pence, a longtime hero of the anti-abortion movement, is the most senior government official to speak in person at the rally, organizers said. As governor of Indiana, he signed what were seen as some of the nation’s strictest abortion laws.;http://feeds.reuters.com/~r/Reuters/domesticNews/~3/Ndp8ef6z4NU/us-usa-abortion-march-idUSKBN15B1ME;abortion;Reuters;;;
U.S. Vice President Mike Pence and senior aide to President Trump, Kellyanne Conway, address the anti-abortion 'March for Life' rally in Washington, DC.;http://feeds.reuters.com/~r/reuters/USVideoTopNews/~3/2ogIkaWS5eE/life-is-winning-again-pence-to-anti-abor;abortion;Reuters;;;
March for Life Leader: 'Create Culture Where Abortion is Unthinkable';http://www.msnbc.com/mtp-daily/watch/march-for-life-leader-create-culture-where-abortion-is-unthinkable-864439875628;abortion;MSNBC;;;
A federal judge blocked Texas laws requiring the burial or cremation of aborted fetal tissue, saying in a decision on Wednesday the measures placed substantial and unconstitutional obstacles in the path of a woman’s right to choose an abortion.;http://feeds.reuters.com/~r/reuters/UShealthcareNews/~3/X6nT8kNDWqc/texas-abortion-idUSL1N1FH20O;abortion;Reuters;;;
The Netherlands has committed $10 million for an initiative to replace funding for abortion services in developing countries that will be lost due to U.S. President Donald Trump’s ban on financing foreign groups that provide abortions.;http://feeds.reuters.com/~r/Reuters/worldNews/~3/NKlT-pKlL_M/us-usa-trump-dutch-abortion-idUSKBN15C0OW;abortion;Reuters;;;
The state's rules seek to ban hospitals and clinics from disposing of fetal remains from abortions or miscarriages as biological medical waste.;http://www.nbcnews.com/news/us-news/federal-judge-temporarily-halts-texas-rule-requiring-burial-fetal-remains-n713596?cid=public-rss_20170128;abortion;MSNBC;;;
Several celebrities, including fashion maven Anna Wintour, donned pink pins for the first day of Fashion Week to show their support for Planned Parenthood, which has come under attack from anti-abortion advocates.;http://feeds.reuters.com/~r/reuters/entertainment/~3/EA3g0e-hXPI/us-fashion-new-york-idUSKBN15O329;abortion;Reuters;;;
“As long as they are going stay in the abortion business, that is an organization that shouldn’t be getting one red cent of federal tax money,” Miller said.;http://feeds.reuters.com/~r/Reuters/PoliticsNews/~3/t1LslAHTVHE/us-usa-abortion-idUSKBN15Q0AS;abortion;Reuters;;;
As many as 6,000 people turned up for competing demonstrations in St. Paul, Minnesota, police said, but at other places, only a few dozen demonstrators turned out.;http://feeds.reuters.com/~r/Reuters/domesticNews/~3/Rwyx7_ek6r4/us-usa-abortion-idUSKBN15Q0AS;abortion;Reuters;;;
Trudeau leads Canada's Liberal Party, embraces immigration and refugee resettlement, pushes for measures to slow climate change, supports abortion rights and calls himself a feminist.;http://www.nbcnews.com/politics/politics-news/trump-trudeau-neighbors-opposites-prepare-meet-first-time-n720181?cid=public-rss_20170213;abortion;MSNBC;;;
Guatemala’s army detained a boat carrying a supply of abortion pills on Thursday and prevented it from picking up women seeking to end their pregnancies, saying the move was prohibited by the country’s constitution.;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/3wwF0McCMyk/guatemalan-navy-blocks-dutch-abortion-sh;abortion;Reuters;;;
"""It’s difficult for me to call myself a feminist in a classic sense because it seems to be very anti-male, and it certainly is very pro-abortion, and I’m neither anti-male or pro-abortion,” Conway said.";http://www.nbcnews.com/news/us-news/merriam-webster-tweet-corrects-conway-s-definition-feminism-n725096?cid=public-rss_20170224;abortion;MSNBC;;;
Authorities in Guatemala detain a Dutch boat run by Women on Waves, a non-profit organization which provides free abortion services in countries where abortion is illegal.;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/C9lNvBqU0z8/guatemala-detains-boat-providing-abortio;abortion;Reuters;;;
But one good speech doesn’t make up for a chaotic and controversial first month, a slow start to beginning his government, and a lack of real leadership on how to proceed overhauling Obamacare and achieving tax reform.;http://www.nbcnews.com/storyline/trumps-address-to-congress/trump-s-address-congress-same-substance-new-tone-n727536?cid=public-rss_20170301;abortion;MSNBC;;;
A Brussels conference to finance global family planning initiatives raised 181 million euros ($190.34 million) after a U.S. halt to such programs left NGOs worldwide with a large funding gap.;http://feeds.reuters.com/~r/reuters/healthNews/~3/Jstl-AtHGg0/us-usa-trump-abortion-europe-idUSKBN16924F;abortion;Reuters;;;
"The groups slammed the so-called ""Global Gag Rule"" that Trump signed on January 24, which bans health care providers worldwide from discussing abortion with patients if they receive U.S. funding.";http://www.nbcnews.com/news/us-news/women-s-strike-day-without-woman-events-take-place-worldwide-n730021?cid=public-rss_20170308;abortion;MSNBC;;;
The protest is called 'A Day Without a Woman,' but on Wednesday, feminists made their presence known with strikes, rallies, and marches around the globe.;http://www.nbcnews.com/news/us-news/day-without-woman-draws-protests-arrests-around-world-n730651?cid=public-rss_20170308;abortion;MSNBC;;;
State Rep. Jessica Farrar is under no illusion that HB 4260, which she freely admits “satirically mirrors real Texas laws,” will make it through the Republican and male-dominated Legislature.;http://www.nbcnews.com/news/us-news/texas-lawmaker-s-satirical-bill-fines-men-masturbating-n732756?cid=public-rss_20170313;abortion;MSNBC;;;
"""At election time people have to choose sides and culturally they are more comfortable with King, who is staunchly anti-abortion and pro-gun.""";http://www.nbcnews.com/news/us-news/steve-king-stirs-controversy-d-c-still-popular-iowa-n734071?cid=public-rss_20170316;abortion;MSNBC;;;
I appreciate that some of these brave women and reproductive justice advocates took time to tell me their stories and educate me about the full implications of that vote.;http://www.nbcnews.com/politics/elections/virginia-democrats-run-left-key-2017-race-n735036?cid=public-rss_20170319;abortion;MSNBC;;;
Gorsuch has not written any rulings on highly controversial subjects like abortion or same-sex marriage. But he sided with the owners of the Hobby Lobby stores, who said Obamacare's contraceptive requirement violated their religious freedom.;http://www.nbcnews.com/news/us-news/confirmation-hearings-begin-trump-supreme-court-nominee-neil-gorsuch-n735116?cid=public-rss_20170320;abortion;MSNBC;;;
“The intentional taking of a human life by private persons is always wrong,” he wrote.;http://www.nbcnews.com/politics/supreme-court/who-judge-gorsuch-clues-key-rulings-n735711?cid=public-rss_20170320;abortion;MSNBC;;;
Democrats say President Donald Trump’s pick for the supreme court sidestepped questions about his opinions on the most contentious legal issues.;http://www.nbcnews.com/politics/politics-news/gorsuch-shows-few-cracks-heading-day-3-scotus-confirmation-n736911?cid=public-rss_20170322;abortion;MSNBC;;;
"A judge called Steven Capobianco self-centered for killing Carly ""Charli"" Scott and his own son because he didn't want to be a father.";http://www.nbcnews.com/news/us-news/man-gets-life-sentence-death-pregnant-ex-girlfriend-hawaii-n738371?cid=public-rss_20170325;abortion;MSNBC;;;
The biggest defeat of Donald Trump’s early presidency — the health-care reform effort getting pulled from the House floor on Friday — revealed a lack of a mandate and a lack of numbers.;http://www.nbcnews.com/politics/first-read/after-health-care-defeat-trump-s-two-options-are-bad-n738861?cid=public-rss_20170327;abortion;MSNBC;;;
“The cost of expanding Medicaid under Obamacare is irresponsible and unsustainable,” he said.;http://feeds.reuters.com/~r/reuters/healthNews/~3/TwxUE8mlAoc/us-kansas-medicaid-idUSKBN17127J;abortion;Reuters;;;
At least 10 percent of babies born to women infected with Zika virus have been diagnosed with visible birth defects, federal researchers report.;http://www.nbcnews.com/storyline/zika-virus-outbreak/new-study-shows-higher-feared-zika-risk-babies-n742571?cid=public-rss_20170404;abortion;MSNBC;;;
Democratic opposition to Gorsuch was also fueled by anger over Republicans' blockade of President Barack Obama's nominee Merrick Garland to replace Scalia.;http://www.nbcnews.com/politics/congress/neil-gorsuch-confirmed-supreme-court-after-senate-uses-nuclear-option-n743766?cid=public-rss_20170407;abortion;MSNBC;;;
Hill, a former Ronald Reagan aide who represented a large swath of this district for 12 years in the state Senate, insists he is asked about Trump only by reporters, not voters.;http://www.nbcnews.com/storyline/democrats-vs-trump/trump-s-shadow-looming-over-special-election-n744231?cid=public-rss_20170409;abortion;MSNBC;;;
About one quarter of the world’s population lives in countries with highly restrictive abortion laws and where women may resort to unsafe methods to end pregnancies. This results in an estimated 43,000 deaths every year, researchers write in The BMJ.;http://dcmmhn.rokambol.com/blog/essays-over-abortion-pills/;abortion;Reuters;;;
"""More than 37 million women in 33 states are at risk of living in a state where abortion could become illegal,"" the group said.";http://www.nbcnews.com/news/us-news/report-abortion-could-be-outlawed-33-states-if-roe-v-n710816?cid=public-rss_20170124;abortion;MSNBC;;;
she was a hero for the women’s rights movement and later one for the anti-abortion movement later in life when she advocated to overturn Roe v. Wade — all part of McCorvey’s intensely complicated legacy.;http://www.nbcnews.com/nightly-news/video/norma-mccorvey-anonymous-plaintiff-in-roe-v-wade-case-dead-at-69-880365123931;abortion;MSNBC;;;
Thousands of anti-abortion advocates set to march on Washington Friday, with VP Mike Pence the main speaker at the event.;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/FVSwRlxBE7g/pro-lifers-gather-in-washington-for-marc;abortion;Reuters;;;
Croatia’s Constitutional Court ruled on Thursday that a law allowing abortion that dates back to the Yugoslav era does not breach the constitution but said parliament should pass new abortion legislation within two years.;http://feeds.reuters.com/~r/reuters/healthNews/~3/lPz3xqreVCs/us-croatia-abortion-idUSKBN1691NP;abortion;Reuters;;;
In a statement, the Guatemalan army said that it would not allow the nonprofit to carry out its activities, in adherence “to the Constitution regarding the preservation of human life and the laws in effect in our country.”;http://uk.reuters.com/video/2017/02/24/guatemalan-navy-blocks-dutch-abortion-sh?videoId=371183540&videoChannel=117759&channelName=World+News;abortion;Reuters;;;
President Donald Trump has signed legislation that lets states withhold federal family planning funds from Planned Parenthood and other abortion providers.;http://www.nbcnews.com/politics/white-house/trump-expected-sign-anti-abortion-bill-n746011?cid=public-rss_20170414;abortion;MSNBC;;;
French voters flocked to the polls in the runoff to ensure Le Pen did not win, instead electing former President Jacques Chirac with a resounding 78 percent of the vote. ;http://www.nbcnews.com/news/world/french-elections-marine-le-pen-backed-quiet-army-women-n748136?cid=public-rss_20170421;abortion;MSNBC;;;
Republican Congressman Dan Donovan of New York explains that the tax credits in the GOP's current health care plan would be unusable in his state due to abortion coverage requirements.;http://www.msnbc.com/all-in/watch/tax-credits-in-gop-plan-unusable-in-ny-931514947906;abortion;MSNBC;;;
A sea of protesters swarmed in front of the White House on Saturday to voice displeasure with President Donald Trump’s stance on the environment and demand that he rethink plans to reverse the climate change policies backed by his predecessor.;http://feeds.reuters.com/~r/Reuters/domesticNews/~3/y_poVXrEuZ4/us-usa-trump-protest-idUSKBN17V0B7;abortion;Reuters;;;
Dr. Willie Parker is one of the few abortion doctors in the South. With a new book out this year, Parker hopes to be a voice for Americans that identify as Christian and also support reproductive rights.;http://www.nbcnews.com/video/christian-abortion-doctor-makes-moral-case-for-his-work-934807619629;abortion;MSNBC;;;
The Trump administration, fresh off one anti-Obamacare victory, plans to target another controversial provision of the law: the birth control mandate.;http://www.nbcnews.com/health/health-care/birth-control-mandate-next-trump-s-hhs-agenda-n755421?cid=public-rss_20170505;abortion;MSNBC;;;
The Iowa Supreme Court on Friday granted an emergency temporary injunction halting a portion of a 20-week abortion ban that was signed into law by Republican Governor Terry Branstad just hours earlier.;http://feeds.reuters.com/~r/reuters/healthNews/~3/dSA0D8RYcUc/us-iowa-abortion-idUSKBN1811RX;abortion;Reuters;;;
The flareup started almost by accident, but has escalated through a series of heated comments and attempts at clarifying statements from Democratic leaders until it snowballed into an inquiry about whether the party should accommodate those who oppose abortion.;http://www.nbcnews.com/storyline/democrats-vs-trump/democrats-stumble-abortion-rift-n756561?cid=public-rss_20170509;abortion;MSNBC;;;
After criticism of the group mounted, Sen. Shelley Moore Capito of West Virginia was invited to join Tuesday's meeting to discuss the health insurance program for low-income Americans, an issue that particularly influences her state.;http://www.nbcnews.com/politics/congress/senate-group-draws-fire-lack-women-working-health-care-n756856?cid=public-rss_20170509;abortion;MSNBC;;;
Pregnant high school student Maddi Runkles is being banned from attending her graduation ceremony for violating her student pledge to 'abstain from sexual immorality'. ;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/eRPXxINNJIw/pregnant-teen-banned-from-graduation-cer;abortion;Reuters;;;
Merrill also was involved in Republican politics, heading a group called the Republican Majority for Choice that favored abortion rights in defiance of the party’s anti-abortion stance.;http://www.reuters.com/article/us-people-merrill-idUSKBN18J2U0?feedType=RSS&feedName=peopleNews;abortion;Reuters;;;
Biden’s long history in politics has also produced a number of vulnerabilities that have never been fully tested in today’s Democratic Party, which has adopted a much more progressive stance on race, criminal justice, gender issues, abortion, and trade policies.;http://www.nbcnews.com/storyline/democrats-vs-trump/new-pac-joe-biden-s-last-act-politics-or-first-n766891?cid=public-rss_20170601;abortion;MSNBC;;;
Supreme Court Justice Anthony Kennedy is rumored to be considering retirement while President Donald Trump is in office, leaving liberals nervous about losing the often moderate Kennedy, who has been an ally on social issues like abortion and gay marriage.;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/BiABMPsBf7A/justice-kennedy-eyes-retirement-leaving;abortion;Reuters;;;
With this the members of the tiny DUP, which won 10 parliamentary seats in Thursday's election, were cast as king-makers in British politics.;http://www.nbcnews.com/news/world/u-k-election-2017-who-are-democratic-unionist-party-dup-n770251?cid=public-rss_20170609;abortion;MSNBC;;;
At statehouses, town halls, and protests, women are dressing like characters from The Handmaid's Tale to protest the stripping of reproductive rights.;http://www.nbcnews.com/news/us-news/here-s-why-women-keep-dressing-handmaids-statehouses-n775206?cid=public-rss_20170621;abortion;MSNBC;;;
Pro-choice groups immediately condemned the bill, which would cause private insurers who participate in the health care exchanges to drop abortion coverage en masse.;http://www.nbcnews.com/politics/congress/abortion-debate-roils-final-health-care-push-n776141?cid=public-rss_20170623;abortion;MSNBC;;;
The Justice Department has urged the justices to lift bans imposed by lower courts blocking enforcement of the president's executive order on travel.;http://www.nbcnews.com/politics/supreme-court/supreme-court-last-day-waiting-trump-travel-ban-ruling-n776231?cid=public-rss_20170625;abortion;MSNBC;;;
A Kennedy retirement would give Trump the ability to profoundly reshape the court.;http://www.nbcnews.com/politics/supreme-court/supreme-court-last-day-waiting-trump-travel-ban-ruling-n776231?cid=public-rss_20170626;abortion;MSNBC;;;
The DUP — the largest party in Northern Ireland — stands against same-sex marriage and opposes the lifting of a near-total ban on abortion currently in place in Ireland.;http://www.nbcnews.com/storyline/brexit-referendum/u-k-prime-minister-theresa-may-strikes-deal-form-government-n776646?cid=public-rss_20170626;abortion;MSNBC;;;
Bevin, a Republican and conservative Christian who has waged a campaign to drive abortion providers out of the state, signed the bill on Tuesday at the Capitol Rotunda in Frankfort in a ceremony that opened with a prayer.;http://www.nbcnews.com/news/us-news/kentucky-gives-blessing-bible-classes-public-schools-n777721?cid=public-rss_20170628;abortion;MSNBC;;;
"Thousands of protesters participate in a nationwide ""Black Monday"" strike in Warsaw, Poland, to protest a legislative proposal for a total ban on abortion.";http://www.nbcnews.com/news/world/welcome-trump-poland-taps-old-communist-party-playbook-n776186?cid=public-rss_20170703;abortion;MSNBC;;;
The petition has been signed by more than 370,000 people and was organized by Americans United for Life, an anti-abortion law firm and advocacy group based in Washington D.C.;http://www.nbcnews.com/news/world/charlie-gard-give-terminally-sick-baby-u-s-residency-say-n781061?cid=public-rss_20170709;abortion;MSNBC;;;
The case of 11-month-old Charlie Gard has garnered worldwide attention and even drawn comment from President Donald Trump and Pope Francis.;http://www.nbcnews.com/news/world/mother-terminally-ill-british-baby-child-charlie-gard-says-trump-n781196?cid=public-rss_20170710;abortion;MSNBC;;;
"Four measures set to go into effect later this month and early next year would place ""severe and unwarranted burdens"" on women's access to abortions, the American Civil Liberties Union said in a statement after the the lawsuit was filed.";http://www.nbcnews.com/news/us-news/groups-prepare-challenge-especially-cruel-arkansas-abortion-laws-n781951?cid=public-rss_20170712;abortion;MSNBC;;;
While abortion remains banned in Malta, gay adoption has been legal since civil unions were introduced in 2014.;http://www.nbcnews.com/feature/nbc-out/catholic-malta-legalizes-gay-marriage-over-church-objection-n782101?cid=public-rss_20170712;abortion;MSNBC;;;
Under Obamacare, insurers can include abortion coverage, but the provision is paid for separately using premiums and not federal subsidies.;http://www.nbcnews.com/politics/congress/major-health-care-changes-senate-gop-bill-n782691?cid=public-rss_20170713;abortion;MSNBC;;;
The president of an abortion provider told a federal court on Tuesday a proposed Texas regulation requiring facilities to dispose of aborted fetal tissue through burial or cremation is unnecessary and “offensive.”;http://www.reuters.com/article/us-texas-abortion-idUSKBN14N1LF;abortion;Reuters;;;
Supporters and opponents of the women's health care organization Planned Parenthood protest in front of the U.S. Supreme Court.;http://feeds.reuters.com/~r/reuters/USVideoLatest/~3/N-ihs209Xdg/planned-parenthood-supporters-opponents;abortion;Reuters;;;
Political pressure has intensified since the Kentucky GOP took control of state government and moved quickly to pass new restrictions on abortions.;http://www.nbcnews.com/news/us-news/abortion-fight-rages-kentucky-where-only-1-clinic-remains-n785376?cid=public-rss_20170721;abortion;MSNBC;;;
The Delaware state Senate on Tuesday passed a bill that would keep abortion legal in the state if a future U.S. Supreme Court shaped by President Donald Trump overturns the landmark 1973 Roe v. Wade ruling that legalized it nationally.;http://www.reuters.com/article/usa-abortion-delaware-idUSL1N1HP0PE;abortion;Reuters;;;
Delaware House votes to guarantee abortion rights, in stance against Trump;http://www.reuters.com/article/us-usa-abortion-delaware-idUSKBN18X1II;abortion;Reuters;;;
A federal judge has blocked Arkansas from enforcing four new abortion restrictions, including a ban on a common second trimester procedure and a fetal remains law that opponents say would effectively require a partner's consent before a woman could get an abortion.;http://www.nbcnews.com/news/us-news/federal-judge-blocks-stricter-arkansas-abortion-law-restrictions-take-effect-n787741?cid=public-rss_20170729;abortion;MSNBC;;;
"Susan Collins of Maine and Lisa Murkowski of Alaska that brought their party's so-called ""skinny"" health care bill to its knees in a 51-49 vote.";http://www.nbcnews.com/news/us-news/murkowski-collins-who-are-two-women-gop-senators-who-helped-n787711?cid=public-rss_20170729;abortion;MSNBC;;;
A federal judge has struck down Alabama's one-of-a-kind law that enabled judges to put minors seeking abortions through a trial-like proceeding in which the fetus could get a lawyer and prosecutors could object to the pregnant girl's wishes.;http://www.nbcnews.com/news/us-news/alabama-judge-rejects-abortion-law-puts-minors-through-trial-hearing-n788431?cid=public-rss_20170801;abortion;MSNBC;;;
The Democrats need to focus on finding better candidates and not forcing members to be beholden to litmus tests on polarizing issues like abortion.;http://www.nbcnews.com/politics/politics-news/gov-jerry-brown-democrats-don-t-have-pelosi-problem-n789971?cid=public-rss_20170806;abortion;MSNBC;;;
A state task force has identified some of the reasons why the state is failing its new mothers, but says more research is needed.;http://www.nbcnews.com/news/us-news/texas-has-highest-maternal-mortality-rate-developed-world-why-n791671?cid=public-rss_20170812;abortion;MSNBC;;;
Kentucky's lone abortion clinic is embroiled in a legal fight against health regulators and the state's anti-abortion governor.;http://www.nbcnews.com/news/us-news/kentucky-s-last-abortion-clinic-fights-stay-open-court-trial-n798971?cid=public-rss_20170906;abortion;MSNBC;;;
She was not with Manson followers the night before when they killed pregnant actress Sharon Tate and four others during a similar bloody rampage.;http://www.nbcnews.com/news/us-news/leslie-van-houten-ex-manson-follower-approved-parole-n799431?cid=public-rss_20170907;abortion;MSNBC;;;
The White House says President Donald Trump is appointing the former president of a leading anti-abortion organization to a senior position at HHS.;http://www.nbcnews.com/news/us-news/trump-names-anti-abortion-leader-charmaine-yoest-high-post-hhs-n752836?cid=public-rss_20170429;abortion;MSNBC;;;
A private North Carolina Christian college is insisting that its faculty and staff sign a document that opposes same-sex marriage and abortion.;http://www.nbcnews.com/feature/nbc-out/private-college-mandates-staff-signs-document-opposing-gay-marriage-n753231?cid=public-rss_20170501;abortion;MSNBC;;;
Thousands took to the streets in cities across the U.S. in pro and anti-abortion rallies to voice their opinion on abortion and whether Planned Parenthood should receive federal money.;http://www.nbcnews.com/nightly-news/video/dueling-protests-over-abortion-access-erupt-in-cities-across-u-s-875290691790;abortion;MSNBC;;;
A federal judge in Missouri on Tuesday blocked Missouri laws requiring doctors performing abortions to be affiliated with hospitals and abortion clinics to be licensed as ambulatory surgical centers, clearing the way for more abortion clinics to operate in the state.;http://www.reuters.com/article/health-abortion-idUSL1N1HS2AQ;abortion;Reuters;;;
Republican senators are making a late push to repeal and replace Obamacare this month even as some colleagues seem ready to move on or even work with Democrats.;http://www.nbcnews.com/politics/congress/last-ditch-gop-effort-repeal-obamacare-unveiled-senate-n801031?cid=public-rss_20170913;abortion;MSNBC;;;
The Trump administration appears to want a tax on imported goods, but it’s… confusing.;http://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-crowd-size-fight-goes-n712926?cid=public-rss_20170127;abortion;MSNBC;;;
H.R.7 bans private insurance companies from offering abortion coverage to American consumers through the Affordable Care Act marketplace.;http://www.nbcnews.com/politics/politics-news/house-passes-new-ban-abortion-insurance-coverage-n712081?cid=public-rss_20170126;abortion;MSNBC;;;
Abortion rights advocates on Friday cheered the Delaware law, which codifies at the state level provisions of Roe v. Wade.;http://www.reuters.com/article/us-usa-abortion-delaware-idUSKBN190217?feedType=RSS&feedName=healthNews&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+reuters%2FhealthNews+%28Reuters+Health+News%29;abortion;Reuters;;;
Democrats, angered by the treatment of Garland, and opposing Gorsuch’s conservative views, may seek to block his nomination.;http://www.reuters.com/article/us-usa-court-trump-gorsuch-newsmaker-idUSKBN15G381?feedType=RSS&feedName=topNews&utm_source=twitter&utm_medium=Social;abortion;Reuters;;;
"""We were the amicus curiae, friend of the court, in Roe v. Wade, which gave women the right to choose [abortion]. But the notion that women would not embrace their own sexuality is insane.""";http://www.nbcnews.com/pop-culture/celebrity/hugh-hefner-playboy-magazine-mogul-dies-91-n657521?cid=public-rss_20170928;abortion;MSNBC;;;
Tim Murphy of Pennsylvania, an anti-abortion lawmaker who allegedly urged his mistress to have an abortion when he thought she was pregnant, is resigning from Congress.;http://www.nbcnews.com/politics/congress/gop-rep-murphy-resigning-after-reports-affair-n808191?cid=public-rss_20171005;abortion;MSNBC;;;
It was reported that the Pennsylvania Republican had asked a mistress to terminate a suspected pregnancy, even as he pushed anti-abortion legislation in congress.;https://www.nbcnews.com/nightly-news/video/congressman-tim-murphy-resigns-in-disgrace-1063799875997;abortion;MSNBC;;;
Gosnell's clinic is representative of all clinics, they say. If we want to stop this horror from happening again, we should ban abortion.;http://www.msnbc.com/msnbc/gosnells-abortion-clinic-was-modern-day-b;abortion;MSNBC;;;
